"sampleID"	"sample_type1"	"sampleNo1"
"HZ20"	"BA093"	"BALF"	"HZ20"
"HZ21"	"BA092re"	"BALF"	"HZ21"
"HZ22"	"BA235"	"BALF"	"HZ22"
"HZ23"	"BA228"	"BALF"	"HZ23"
"HZ30"	"BA090re"	"BALF"	"HZ30"
"HZ31"	"BA283"	"BALF"	"HZ31"
"HZ32"	"BA086re"	"BALF"	"HZ32"
"HZ33"	"BA275"	"BALF"	"HZ33"
"HZ34"	"BA132re"	"BALF"	"HZ34"
"HZ35"	"BA230"	"BALF"	"HZ35"
"HZ36"	"BA085re"	"BALF"	"HZ36"
"HZ37"	"BA231"	"BALF"	"HZ37"
"LG01"	"BA091re"	"BALF"	"LG01"
"LG02"	"BA044"	"BALF"	"LG02"
"LG03"	"BA041"	"BALF"	"LG03"
"LG04"	"BA189"	"BALF"	"LG04"
"LG05"	"BA138"	"BALF"	"LG05"
"LG07"	"BA144re"	"BALF"	"LG07"
"LG09"	"BA237"	"BALF"	"LG09"
"LG10"	"BA142re"	"BALF"	"LG10"
"LG11"	"BA287"	"BALF"	"LG11"
"LG12"	"BA286"	"BALF"	"LG12"
"LG13"	"BA240"	"BALF"	"LG13"
"LG14"	"BA238"	"BALF"	"LG14"
"LG15"	"BA284"	"BALF"	"LG15"
"LG16"	"BA094"	"BALF"	"LG16"
"LG17"	"BA096re"	"BALF"	"LG17"
"LG19"	"BA239"	"BALF"	"LG19"
"LG24"	"BA308"	"BALF"	"LG24"
"LG25"	"BA143"	"BALF"	"LG25"
"LG26"	"BA046"	"BALF"	"LG26"
"LG27"	"BA191"	"BALF"	"LG27"
"LG28"	"BA095re"	"BALF"	"LG28"
"LG29"	"BA045"	"BALF"	"LG29"
"HZ201"	"OPH20R"	"OP"	"HZ20"
"HZ211"	"OPH21_R"	"OP"	"HZ21"
"HZ221"	"OPH22R"	"OP"	"HZ22"
"HZ231"	"OPH23R"	"OP"	"HZ23"
"HZ301"	"OP302"	"OP"	"HZ30"
"HZ311"	"OP287"	"OP"	"HZ31"
"HZ321"	"OPH32R"	"OP"	"HZ32"
"HZ331"	"OPH33R"	"OP"	"HZ33"
"HZ341"	"OP239"	"OP"	"HZ34"
"HZ351"	"OPH35R"	"OP"	"HZ35"
"HZ361"	"OP267"	"OP"	"HZ36"
"HZ371"	"OPH37_R"	"OP"	"HZ37"
"LG011"	"OP296"	"OP"	"LG01"
"LG021"	"OP259"	"OP"	"LG02"
"LG031"	"OPL03R"	"OP"	"LG03"
"LG041"	"OPL04R"	"OP"	"LG04"
"LG051"	"OPL05R"	"OP"	"LG05"
"LG071"	"OP192"	"OP"	"LG07"
"LG091"	"OP229"	"OP"	"LG09"
"LG101"	"OPL10_R"	"OP"	"LG10"
"LG111"	"OP268"	"OP"	"LG11"
"LG121"	"OP240"	"OP"	"LG12"
"LG131"	"OPL13R"	"OP"	"LG13"
"LG141"	"OPL14R"	"OP"	"LG14"
"LG151"	"OPL15R"	"OP"	"LG15"
"LG161"	"OPL16R"	"OP"	"LG16"
"LG171"	"OP191"	"OP"	"LG17"
"LG191"	"OP278"	"OP"	"LG19"
"LG241"	"OP276"	"OP"	"LG24"
"LG251"	"OP288"	"OP"	"LG25"
"LG261"	"OPL26_R"	"OP"	"LG26"
"LG271"	"OPL27_R"	"OP"	"LG27"
"LG281"	"OPL28R"	"OP"	"LG28"
"LG291"	"OP190"	"OP"	"LG29"
